timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680410974021,2150,Login,400,Bad Request,Thread Group 1-400,text,false,"Test failed: message expected to equal /

****** received  : [[[Bad Request]]]

****** comparison: [[[OK         ]]]

/",1318,513,500,500,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,2147,0,1663
1680410973927,3554,Login,500,Internal Server Error,Thread Group 1-242,text,false,"Test failed: message expected to equal /

****** received  : [[[Internal Server Error]]]

****** comparison: [[[OK                   ]]]

/",1318,513,500,500,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,3534,0,3403
1680416930983,3534,Test Fragment,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-404,,false,,1318,513,500,500,null,3534,410,3403
1680416931368,15390,Login,200,OK,Thread Group 1-30,text,true,,808,504,499,499,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,15390,0,1442
1680416930234,15390,Test Fragment,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-30,,true,,808,504,499,499,null,15390,1135,1442
1680416931344,15526,Login,200,OK,Thread Group 1-270,text,true,,816,506,498,498,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,15526,0,1520
1680416930716,15526,Test Fragment,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-270,,true,,816,506,498,498,null,15526,629,1520
1680416931307,15881,Login,200,OK,Thread Group 1-196,text,true,,810,506,497,497,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,15881,0,1602
1680416930571,15881,Test Fragment,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-196,,true,,810,506,497,497,null,15881,737,1602
1680416931337,16431,Login,200,OK,Thread Group 1-242,text,true,,806,506,496,496,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,16431,0,1545
1680416930659,16431,Test Fragment,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-242,,true,,806,506,496,496,null,16431,679,1545
1680416931330,16871,Login,200,OK,Thread Group 1-156,text,true,,812,506,495,495,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,16871,0,1527
1680416930486,16871,Test Fragment,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-156,,true,,812,506,495,495,null,16871,845,1527
1680416931351,17142,Login,200,OK,Thread Group 1-453,text,true,,827,514,494,494,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,17142,0,1435
1680416931080,17142,Test Fragment,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-453,,true,,827,514,494,494,null,17142,272,1435
1680416931325,17302,Login,200,OK,Thread Group 1-20,text,true,,816,508,493,493,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,17302,0,1451
1680416930215,17302,Test Fragment,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-20,,true,,816,508,493,493,null,17302,1110,1451
1680416931371,17327,Login,200,OK,Thread Group 1-495,text,true,,806,503,492,492,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,17327,0,1432
1680416931163,17327,Test Fragment,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-495,,true,,806,503,492,492,null,17327,209,1432
1680416931347,17426,Login,200,OK,Thread Group 1-450,text,true,,825,511,491,491,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,17426,0,1514
