timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680420503943,2635,Login,400,Bad Request,Thread Group 1-404,text,false,"Test failed: message expected to equal /

****** received  : [[[Bad Request]]]

****** comparison: [[[OK         ]]]

/",1318,513,500,500,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,2635,0,1801
1680420503612,2635,Test Fragment,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-404,,false,,1318,513,500,500,null,2635,333,1801
1680420503941,20459,Login,200,OK,Thread Group 1-327,text,true,,817,510,499,499,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,20459,0,1336
1680420503458,20459,Test Fragment,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-327,,true,,817,510,499,499,null,20459,483,1336
1680420503941,23450,Login,200,OK,Thread Group 1-245,text,true,,817,510,498,498,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,23450,0,1317
1680420503294,23450,Test Fragment,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-245,,true,,817,510,498,498,null,23450,648,1317
1680420504009,23402,Login,200,OK,Thread Group 1-415,text,true,,807,504,497,497,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,23402,0,1250
1680420503638,23402,Test Fragment,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-415,,true,,807,504,497,497,null,23402,371,1250
1680420503964,23450,Login,200,OK,Thread Group 1-172,text,true,,815,509,496,496,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,23450,0,1298
1680420503149,23450,Test Fragment,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-172,,true,,815,509,496,496,null,23450,815,1298
1680420503962,23457,Login,200,OK,Thread Group 1-486,text,true,,821,512,495,495,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,23457,0,1299
1680420503776,23457,Test Fragment,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-486,,true,,821,512,495,495,null,23457,187,1299
1680420503968,23456,Login,200,OK,Thread Group 1-312,text,true,,811,504,494,494,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,23456,0,1295
1680420503429,23456,Test Fragment,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-312,,true,,811,504,494,494,null,23456,540,1295
1680420503942,23488,Login,200,OK,Thread Group 1-453,text,true,,827,514,493,493,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,23488,0,1334
1680420503980,23450,Login,200,OK,Thread Group 1-106,text,true,,809,505,493,493,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,23450,0,1283
1680420503964,23466,Login,200,OK,Thread Group 1-214,text,true,,813,510,493,493,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,23466,0,1319
1680420503709,23488,Test Fragment,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-453,,true,,827,514,493,493,null,23488,234,1334
1680420503234,23466,Test Fragment,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-214,,true,,813,510,493,493,null,23466,731,1319
1680420503019,23450,Test Fragment,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-106,,true,,809,505,493,493,null,23450,962,1283
1680420504004,23437,Login,200,OK,Thread Group 1-274,text,true,,810,507,490,490,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,23437,0,1272
1680420503353,23437,Test Fragment,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-274,,true,,810,507,490,490,null,23437,651,1272
1680420504004,23438,Login,200,OK,Thread Group 1-221,text,true,,808,505,489,489,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,23438,0,1256
1680420503246,23438,Test Fragment,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-221,,true,,808,505,489,489,null,23438,758,1256
1680420503974,23479,Login,200,OK,Thread Group 1-213,text,true,,805,505,488,488,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,23479,0,1293
1680420503234,23479,Test Fragment,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-213,,true,,805,505,488,488,null,23479,740,1293
1680420503974,23481,Login,200,OK,Thread Group 1-234,text,true,,814,507,487,487,https://api.test-applicant.talent-troop.com/api/public/applicant-signin,23481,0,1290
1680420503272,23481,Test Fragment,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-234,,true,,814,507,487,487,null,23481,702,1290
